Business Name,Phone,Address,Website,City,Category,Status,Notes
Little Sprouts Learning Center,(520) 555-8629,"7502 N Oracle Rd, Scottsdale, AZ",https://littlesproutslearningcen.com,Scottsdale,daycare,call,spoke to front desk
Desert Bloom Preschool,(480) 555-4050,"1642 W Thomas Rd, Tucson, AZ",https://desertbloompreschool.com,Tucson,daycare,new,wants after-hours only
Sunshine Kids Academy,(520) 555-1686,"9855 W Thomas Rd, Tucson, AZ",https://sunshinekidsacademy.com,Tucson,daycare,new,wants after-hours only
Tiny Toes Childcare,(520) 555-2034,"1075 E Camelback Rd, Phoenix, AZ",,Phoenix,daycare,call,wants after-hours only
Cactus Wren Early Learning,(480) 555-6345,"7317 N Oracle Rd, Phoenix, AZ",https://cactuswrenearlylearning.com,Phoenix,daycare,call,
Adventure Kids Academy,(480) 555-1075,"1492 W Thomas Rd, Scottsdale, AZ",https://adventurekidsacademy.com,Scottsdale,daycare,email,wants after-hours only
Bright Beginnings Preschool,(520) 555-5161,"5265 N Scottsdale Rd, Phoenix, AZ",https://brightbeginningspreschoo.com,Phoenix,daycare,new,
Saguaro Kids Club,(602) 555-7560,"1866 E Speedway Blvd, Tucson, AZ",https://saguarokidsclub.com,Tucson,daycare,new,
KinderCare Learning Center,(602) 555-4436,"957 W Thomas Rd, Phoenix, AZ",https://kindercarelearningcenter.com,Phoenix,daycare,email,asked for COI
Happy Trails Childcare,(520) 555-4252,"4520 E Speedway Blvd, Phoenix, AZ",,Phoenix,daycare,walk-in,
Glow Aesthetics Studio,(602) 555-3205,"4136 E Indian School Rd, Scottsdale, AZ",,Scottsdale,med spa,new,asked for COI
Desert Rose Med Spa,(602) 555-4086,"7430 N Oracle Rd, Scottsdale, AZ",,Scottsdale,med spa,new,asked for COI
Radiance Skin & Laser,(480) 555-2908,"6569 W Thomas Rd, Tucson, AZ",https://radianceskinandlaser.com,Tucson,med spa,new,owner is Kim
Revive Wellness Spa,(480) 555-1321,"3552 N Scottsdale Rd, Tucson, AZ",https://revivewellnessspa.com,Tucson,med spa,new,
Pure Aesthetics AZ,(602) 555-8234,"4331 E Camelback Rd, Phoenix, AZ",https://pureaestheticsaz.com,Phoenix,med spa,walk-in,owner is Kim
Luxe Skin Lounge,(602) 555-2217,"1576 N Scottsdale Rd, Scottsdale, AZ",https://luxeskinlounge.com,Scottsdale,med spa,call,
Massage Envy,(480) 555-7089,"7525 N Scottsdale Rd, Tucson, AZ",https://massageenvy.com,Tucson,med spa,new,wants after-hours only
Oasis Medical Aesthetics,(480) 555-3995,"2625 E Speedway Blvd, Phoenix, AZ",https://oasismedicalaesthetics.com,Phoenix,med spa,call,
